11 09 2000 , 4.749
11 10 2000 , 4.707
11 13 2000 , 4.700
11 14 2000 , 4.679
11 15 2000 , 4.672
11 16 2000 , 4.680
11 17 2000 , 4.645
11 20 2000 , 4.642
11 21 2000 , 4.627
11 22 2000 , 4.625
11 27 2000 , 4.695
11 28 2000 , 4.698
11 29 2000 , 4.695
11 30 2000 , 4.605
12 01 2000 , 4.675
12 04 2000 , 4.650
12 05 2000 , 4.700
12 06 2000 , 4.695
12 07 2000 , 4.765
12 08 2000 , 4.700
12 11 2000 , 4.655
12 12 2000 , 4.675
12 13 2000 , 4.635
12 14 2000 , 4.625
12 15 2000 , 4.550
12 18 2000 , 4.580
12 19 2000 , 4.595
12 20 2000 , 4.610
12 21 2000 , 4.599
12 22 2000 , 4.600
12 26 2000 , 4.623
12 27 2000 , 4.583
12 28 2000 , 4.560
12 29 2000 , 4.585
01 02 2001 , 4.545
01 03 2001 , 4.500
01 04 2001 , 4.532
01 05 2001 , 4.555
01 08 2001 , 4.545
01 09 2001 , 4.530
01 10 2001 , 4.535
01 11 2001 , 4.557
01 12 2001 , 4.622
01 16 2001 , 4.677
01 17 2001 , 4.710
01 18 2001 , 4.794
01 19 2001 , 4.749
01 22 2001 , 4.774
01 23 2001 , 4.776
01 24 2001 , 4.768
01 25 2001 , 4.785
01 26 2001 , 4.805
01 29 2001 , 4.803
01 30 2001 , 4.796
01 31 2001 , 4.770
02 01 2001 , 4.740
02 02 2001 , 4.768
02 05 2001 , 4.678
02 06 2001 , 4.653
02 07 2001 , 4.611
02 08 2001 , 4.560
02 09 2001 , 4.553
02 12 2001 , 4.553
02 13 2001 , 4.553
02 14 2001 , 4.508
02 15 2001 , 4.513
02 16 2001 , 4.488
02 20 2001 , 4.418
02 21 2001 , 4.406
02 22 2001 , 4.413
02 23 2001 , 4.431
02 26 2001 , 4.443
02 27 2001 , 4.440
02 28 2001 , 4.420
03 01 2001 , 4.485
03 02 2001 , 4.405
03 05 2001 , 4.380
03 06 2001 , 4.390
03 07 2001 , 4.380
03 08 2001 , 4.410
03 09 2001 , 4.460
03 12 2001 , 4.495
03 13 2001 , 4.375
03 14 2001 , 4.390
03 15 2001 , 4.395
03 16 2001 , 4.310
03 19 2001 , 4.285
03 20 2001 , 4.290
03 21 2001 , 4.300
03 22 2001 , 4.310
03 23 2001 , 4.330
03 26 2001 , 4.355
03 27 2001 , 4.414
03 28 2001 , 4.385
03 29 2001 , 4.318
03 30 2001 , 4.278
04 02 2001 , 4.298
04 03 2001 , 4.296
04 04 2001 , 4.323
04 05 2001 , 4.341
04 06 2001 , 4.321
04 09 2001 , 4.301
04 10 2001 , 4.311
04 11 2001 , 4.353
04 12 2001 , 4.358
04 16 2001 , 4.432
04 17 2001 , 4.360
04 18 2001 , 4.357
04 19 2001 , 4.419
04 20 2001 , 4.435
04 23 2001 , 4.435
04 24 2001 , 4.448
04 25 2001 , 4.365
04 26 2001 , 4.377
04 27 2001 , 4.380
04 30 2001 , 4.360
05 01 2001 , 4.310
05 02 2001 , 4.335
05 03 2001 , 4.375
05 04 2001 , 4.320
05 07 2001 , 4.315
05 08 2001 , 4.310
05 09 2001 , 4.330
05 10 2001 , 4.340
05 11 2001 , 4.325
05 14 2001 , 4.332
05 15 2001 , 4.295
05 16 2001 , 4.438
05 17 2001 , 4.430
05 18 2001 , 4.480
05 21 2001 , 4.635
05 22 2001 , 4.515
05 23 2001 , 4.505
05 24 2001 , 4.610
05 25 2001 , 4.580
05 29 2001 , 4.523
05 30 2001 , 4.423
05 31 2001 , 4.396
06 01 2001 , 4.409
06 04 2001 , 4.320
06 05 2001 , 4.329
06 06 2001 , 4.328
06 07 2001 , 4.323
06 08 2001 , 4.358
06 11 2001 , 4.326
06 12 2001 , 4.365
06 13 2001 , 4.405
06 14 2001 , 4.460
06 15 2001 , 4.393
06 18 2001 , 4.415
06 19 2001 , 4.400
06 20 2001 , 4.338
06 21 2001 , 4.316
06 22 2001 , 4.299
06 25 2001 , 4.294
06 26 2001 , 4.344
06 27 2001 , 4.305
06 28 2001 , 4.310
06 29 2001 , 4.285
07 02 2001 , 4.260
07 03 2001 , 4.270
07 05 2001 , 4.240
07 06 2001 , 4.235
07 09 2001 , 4.215
07 10 2001 , 4.215
07 11 2001 , 4.220
