 2000 12 05 755·59
 2000 12 06 555·52
 2000 12 07 775.51
 2000 12 08 205.55
 2000 12 11 525·54
 2000 12 12 335.53
 2000 12 13 385.48
 2000 12 14 105.45
 2000 12 15 405·44
 2000 12 18 615.44
 2000 12 19 845·47
 2000 12 20 425.42
 2000 12 21 695.41
 2000 12 22 25.40
 2000 12 26 105.41
 2000 12 27 405·45
 2000 12 28 965.44
 2000 12 29 445.46
 2001 01 02  355.35
 2001 01 03  545·49
 2001 01 04  45.44
 2001 01 05  05.41
 2001 01 08  25·42
 2001 01 09  615·43
 2001 01 10  985.49
 2001 01 11  85.55
 2001 01 12  815·63
 2001 01 16  605·60
 2001 01 17  115.52
 2001 01 18  305.47
 2001 01 19  675.56
 2001 01 22  775·61
 2001 01 23  995·65
 2001 01 24  555·67
 2001 01 25  775·61
 2001 01 26  625.64
 2001 01 29  435.69
 2001 01 30  955·59
 2001 01 31  575.54
 2001 02 01  915·46
 2001 02 02  515·51
 2001 02 05  885·48
 2001 02 06  765.51
 2001 02 07  655·52
 2001 02 08  545.44
 2001 02 09  975.38
 2001 02 12  275·42
 2001 02 13  75·43
 2001 02 14  85·44
 2001 02 15  115·50
 2001 02 16  305·46
 2001 02 20  705.46
 2001 02 21  965.49
 2001 02 22  415.52
 2001 02 23  295·49
 2001 02 26  275.45
 2001 02 27  235·34
 2001 02 28  265·34
 2001 03 01  935.29
 2001 03 02  815.38
 2001 03 05  225·36
 2001 03 06  295.38
 2001 03 07  165·32
 2001 03 08  555.30
 2001 03 09  495.32
 2001 03 12  375·31
 2001 03 13  185·34
 2001 03 14  15·28
 2001 03 15  865.29
 2001 03 16  645.28
 2001 03 19  425.30
 2001 03 20  935·27
 2001 03 21  405·28
 2001 03 22  485.25
 2001 03 23  575.30
 2001 03 26  335.36
 2001 03 27  415.45
 2001 03 28  505·47
 2001 03 29  595.48
 2001 03 30  455.46
 2001 04 02  475.49
 2001 04 03  605·48
 2001 04 04  655·50
 2001 04 05  815.53
 2001 04 06  405·46
