Date,Open,High,Low,Close,Adj Close,Volume,Episode 0,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10,Episode 11,Episode 12,Episode 13,Episode 14,Episode 15,Episode 16,Episode 17,Episode 18,Episode 19,Episode 20,Episode 21,Episode 22,Episode 23,Episode 24,Episode 25,Episode 26,Episode 27,Episode 28,Episode 29,Episode 30,Episode 31,Episode 32,Episode 33,Episode 34,Episode 35,Episode 36,Episode 37,Episode 38,Episode 39,Episode 40,Episode 41,Episode 42,Episode 43,Episode 44,Episode 45,Episode 46,Episode 47,Episode 48,Episode 49,Episode 50,Episode 51,Episode 52,Episode 53,Episode 54,Episode 55,Episode 56,Episode 57,Episode 58,Episode 59,Episode 60,Episode 61,Episode 62,Episode 63,Episode 64,Episode 65,Episode 66,Episode 67,Episode 68,Episode 69,Episode 70,Episode 71,Episode 72,Episode 73,Episode 74,Episode 75,Episode 76,Episode 77,Episode 78,Episode 79,Episode 80,Episode 81,Episode 82,Episode 83,Episode 84,Episode 85,Episode 86,Episode 87,Episode 88,Episode 89,Episode 90,Episode 91,Episode 92,Episode 93,Episode 94,Episode 95,Episode 96,Episode 97,Episode 98,Episode 99
2018-11-29,2736.969971,2753.750000,2722.939941,2737.800049,2737.800049,3560770000,4995.219971,4954.45996,5000,5034.689942,4959.199952,4990.670166,5006.070068999999,4932.949951,5070.340088,5131.129881999999,5000,4977.379881999999,5048.830078999999,4990.76001,4889.149902,5049.609863,5014.79004,4963.179931000001,5034.689942,4904.330078,4982.630127,4954.45996,5069.660156,4992.049805,5069.509765,5008.0400389999995,4954.45996,5006.070068999999,5101.900146,5008.719971,4945.130126,4966.609861999999,4937.949707,5006.070068999999,5014.79004,5113.23999,4889.149902,4798.739991,5024.800048,4923.180177,5097.72998,5028.619873,5091.050048,5172.089843,5032.23999,4954.45996,4798.739991,4896.250001999999,4905.619873,5028.619873,4970.060058000001,4900.3198250000005,4930.979981,4898.899904,4946.379884,4984.939942,5000,4948.349854,5000,4937.05005,4976.520021,5000,4882.949952000001,5000,4930.979981,5036.139891999999,4948.349854,4836.599854,5000,4971.869873,5034.689942,4977.330078999999,4959.48999,5000,5042.2099610000005,4948.349854,4879.01001,4943.25,4940.3098150000005,5017.4099129999995,5000,5000,4842.669923,5000,5000,4971.26001,5034.689942,4923.839844,4951.969971,5000,4911.689942,5000,4971.869873,4989.149902,4979.389891999999,5028.619873,5000,5000,4948.349854,5000
2018-11-30,2737.760010,2760.879883,2732.760010,2760.169922,2760.169922,4658580000,4995.219971,5018.810058,5000,5034.689942,4959.199952,4990.670166,5006.070068999999,4932.949951,5125.970214999999,5131.129881999999,5000,5041.729979999999,5104.460206,4984.77002,4889.149902,5049.609863,5014.79004,4963.179931000001,5034.689942,4968.680176,4982.630127,4954.45996,5069.660156,4986.059815,5069.509765,5008.0400389999995,4954.45996,5061.700196,5101.900146,5008.719971,4945.130126,5071.849851999999,4931.959717,5006.070068999999,5014.79004,5113.23999,4936.219971,4798.739991,5080.4301749999995,4923.180177,5097.72998,5028.619873,5178.9201649999995,5172.089843,5026.25,4954.45996,4798.739991,4896.250001999999,4905.619873,5124.530029,4970.060058000001,4900.3198250000005,4938.580079,4892.909914,4946.379884,5090.179932,5000,4948.349854,5000,4937.05005,4976.520021,5000,4882.949952000001,5000,4930.979981,5036.139891999999,4948.349854,4836.599854,5000,4979.4699709999995,5034.689942,5065.200196,4959.48999,5007.600098,5042.2099610000005,4948.349854,4974.920166,5039.160156,4940.3098150000005,5105.28003,5000,5000,4842.669923,5000,5000,4971.26001,5034.689942,4923.839844,4951.969971,5000,4911.689942,5000,4971.869873,4989.149902,5026.459960999999,5028.619873,5000,5000,4948.349854,5000
2018-12-03,2790.500000,2800.179932,2773.379883,2790.370117,2790.370117,4186060000,4995.219971,5018.810058,5022.369873,5034.689942,4959.199952,4990.670166,5006.070068999999,4932.949951,5125.970214999999,5153.499754999999,5016.379883,5119.729979999999,5104.460206,4984.77002,4958.589844,5065.989745999999,5014.79004,4963.179931000001,5034.689942,4985.0600589999995,4982.630127,4954.45996,5069.660156,4986.059815,5085.889648,5086.0400389999995,4954.45996,5061.700196,5101.900146,5008.719971,4945.130126,5071.849851999999,4931.959717,5006.070068999999,5014.79004,5135.609863,4936.219971,4917.02002,5080.4301749999995,4923.180177,5097.72998,5028.619873,5178.9201649999995,5172.089843,5026.25,4954.45996,4798.739991,4896.250001999999,4905.619873,5124.530029,4970.060058000001,4969.7597670000005,4938.580079,4892.909914,4946.379884,5090.179932,5000,4948.349854,5000,4937.05005,4976.520021,5000,4882.949952000001,5000,4930.979981,5036.139891999999,4978.3198250000005,4836.599854,5000,4979.4699709999995,5034.689942,5065.200196,5028.929932,5007.600098,5042.2099610000005,4948.349854,4974.920166,5039.160156,4970.279786000001,5232.889893,5000,5000,4842.669923,5000,5000,4971.26001,5034.689942,4923.839844,4951.969971,5000,4911.689942,5000,4971.869873,4989.149902,5026.459960999999,5052.519775,5000,5000,4948.349854,5000
2018-12-04,2782.429932,2785.929932,2697.179932,2700.060059,2700.060059,4499840000,4995.219971,5127.010253,5022.369873,5034.689942,4959.199952,4990.670166,5006.070068999999,4932.949951,5125.970214999999,5153.499754999999,5068.949951,5119.729979999999,5134.660400999999,4984.77002,5107.070068,5065.989745999999,5044.990234999999,4963.179931000001,5034.689942,4985.0600589999995,4982.630127,4984.660155,5069.660156,5016.26001,5085.889648,5132.6201169999995,4984.660155,5108.280274,5101.900146,5008.719971,4945.130126,5071.849851999999,4931.959717,5006.070068999999,5014.79004,5135.609863,4936.219971,4917.02002,5080.4301749999995,4923.180177,5097.72998,5028.619873,5178.9201649999995,5172.089843,5026.25,4954.45996,4947.220215,4896.250001999999,4905.619873,5124.530029,4970.060058000001,5086.679933,4938.580079,4892.909914,4946.379884,5090.179932,5054.1000970000005,4948.349854,5088.7900389999995,4937.05005,4976.520021,5000,4882.949952000001,5000,4930.979981,5036.139891999999,4978.3198250000005,4836.599854,5000,4979.4699709999995,5034.689942,5065.200196,5028.929932,5061.700194999999,5042.2099610000005,4948.349854,4974.920166,5039.160156,4970.279786000001,5232.889893,5000,5000,4942.31006,5088.7900389999995,5088.7900389999995,4971.26001,5034.689942,4923.839844,4951.969971,5000,4965.7900389999995,5000,4971.869873,4989.149902,5026.459960999999,5052.519775,5088.7900389999995,5000,4948.349854,5000
2018-12-06,2663.510010,2696.149902,2621.530029,2695.949951,2695.949951,5141470000,4995.219971,5127.010253,5022.369873,5034.689942,4959.199952,4990.670166,5006.070068999999,4932.949951,5125.970214999999,5153.499754999999,5068.949951,5119.729979999999,5134.660400999999,4984.77002,5107.070068,4975.679687999999,5044.990234999999,4919.4499510000005,5034.689942,4985.0600589999995,4982.630127,4984.660155,5069.660156,5016.26001,5085.889648,5132.6201169999995,4984.660155,5108.280274,5169.400146,5008.719971,4945.130126,5071.849851999999,4931.959717,5006.070068999999,5014.79004,5135.609863,4936.219971,4917.02002,5080.4301749999995,4923.180177,5097.72998,5086.7900389999995,5178.9201649999995,5198.699951,5026.25,4954.45996,4965.110352,4896.250001999999,4932.2299809999995,5174.660156,4970.060058000001,5086.679933,4938.580079,4892.909914,4946.379884,5090.179932,5054.1000970000005,4948.349854,5088.7900389999995,4937.05005,4976.520021,4998.479981,4882.949952000001,5000,4930.979981,5036.139891999999,4978.3198250000005,4836.599854,4998.479981,4979.4699709999995,5034.689942,5065.200196,5028.929932,5061.700194999999,5042.2099610000005,4948.349854,4974.920166,5089.290283,4970.279786000001,5232.889893,5000,5000,4942.31006,5052.580077999999,5088.7900389999995,4971.26001,5034.689942,4923.839844,4915.76001,4969.860108,4965.7900389999995,5000,4971.869873,4989.149902,5026.459960999999,5052.519775,5088.7900389999995,5000,4948.349854,5000
2018-12-07,2691.260010,2708.540039,2623.139893,2633.080078,2633.080078,4216690000,4991.109863000001,5062.790282,4927.949707,5034.689942,4959.199952,4990.670166,5001.959961,4932.949951,5125.970214999999,5153.499754999999,5068.949951,5119.729979999999,5134.660400999999,4984.77002,5107.070068,4975.679687999999,5044.990234999999,4919.4499510000005,5034.689942,4890.639893,4982.630127,4984.660155,5069.660156,5016.26001,5085.889648,5128.510009,4984.660155,5108.280274,5191.900146,4914.299805000001,4945.130126,5024.009763999999,4837.539551,5006.070068999999,5014.79004,5135.609863,4990.2800290000005,4917.02002,5080.4301749999995,4923.180177,5093.619872,5132.810057999999,5178.9201649999995,5198.699951,5026.25,4954.45996,4917.270264,4896.250001999999,4946.01001,5174.660156,4970.060058000001,5038.839845,4938.580079,4892.909914,4951.599855,5025.9599610000005,5054.1000970000005,4948.349854,5088.7900389999995,4937.05005,4976.520021,4998.479981,4937.010010000001,5005.219971,4930.979981,5036.139891999999,4937.999756000001,4836.599854,4998.479981,4979.4699709999995,5034.689942,5065.200196,5028.929932,5061.700194999999,5007.9599610000005,4948.349854,4974.920166,5089.290283,4929.959717000002,5246.669921999999,5000,4959.679931000001,4942.31006,5052.580077999999,5088.7900389999995,4971.26001,5034.689942,4929.0598150000005,4915.76001,4969.860108,4965.7900389999995,5000,4971.869873,4989.149902,5026.459960999999,5052.519775,5088.7900389999995,5000,4948.349854,5000
2018-12-10,2630.860107,2647.510010,2583.229980,2637.719971,2637.719971,4151030000,4991.109863000001,4995.8103009999995,4927.949707,4967.7099610000005,4801.9099129999995,4990.670166,5001.959961,4932.949951,5125.970214999999,5153.499754999999,5068.949951,5119.729979999999,5134.660400999999,4984.77002,4996.360107,4975.679687999999,5044.990234999999,4919.4499510000005,5034.689942,4823.659911999999,4919.760254000001,4984.660155,5069.660156,4953.390137,4981.169677,5128.510009,4984.660155,5108.280274,5191.900146,4914.299805000001,4945.130126,5024.009763999999,4770.559569999999,4943.200196,5014.79004,5135.609863,4990.800048000001,4867.930176,5017.560302,4860.3103040000005,5093.619872,5132.810057999999,5178.9201649999995,5071.6101069999995,5026.25,4954.45996,4917.270264,4855.880128999999,4946.01001,5174.660156,4970.060058000001,5038.839845,4938.580079,4892.909914,4951.599855,5025.9599610000005,5054.1000970000005,4948.349854,5088.7900389999995,4937.05005,4976.520021,4998.479981,4937.010010000001,5005.219971,4930.979981,5036.139891999999,4937.999756000001,4836.599854,4998.479981,4979.4699709999995,5034.689942,5065.200196,5028.929932,5061.700194999999,5007.9599610000005,4948.349854,4925.830322,5089.290283,4929.959717000002,5246.669921999999,5000,4959.679931000001,4942.31006,5052.580077999999,5088.7900389999995,4954.410156,5034.689942,4929.0598150000005,4915.76001,4969.860108,4908.140136999999,5000,4971.869873,4989.149902,5026.459960999999,5052.519775,4991.670166,5000,4851.229981,5000
2018-12-11,2664.439941,2674.350098,2621.300049,2636.780029,2636.780029,3905870000,4991.109863000001,4995.8103009999995,4865.609619,4967.7099610000005,4801.9099129999995,4995.3100589999995,5001.959961,4932.949951,5125.970214999999,5091.159666999999,5068.949951,5119.729979999999,5134.660400999999,4984.77002,4934.0200190000005,4975.679687999999,5044.990234999999,4919.4499510000005,5034.689942,4823.659911999999,4919.760254000001,4984.660155,5069.660156,4953.390137,4828.519531,5128.510009,4984.660155,5108.280274,5191.900146,4914.299805000001,4932.9201649999995,5024.009763999999,4770.559569999999,4943.200196,5014.79004,5135.609863,4868.3500970000005,4767.850098,5017.560302,4860.3103040000005,5093.619872,5137.969969999999,5178.9201649999995,4918.959961,5026.25,4918.72998,4794.820313,4855.880128999999,4946.01001,5179.820068,4970.060058000001,5038.839845,4938.580079,4892.909914,4951.599855,5025.9599610000005,5054.1000970000005,4948.349854,5088.7900389999995,4937.05005,4976.520021,4998.479981,4937.010010000001,5001.050049,4838.500001,5031.969969999999,4937.999756000001,4836.599854,4998.479981,4979.4699709999995,5034.689942,5065.200196,5028.929932,5061.700194999999,5007.9599610000005,4948.349854,4925.830322,5094.450195,4935.119629000002,5246.669921999999,4936.139893,4959.679931000001,4942.31006,5052.580077999999,5088.7900389999995,4954.410156,5034.689942,4929.0598150000005,4915.76001,4969.860108,4908.140136999999,5000,4971.869873,4989.149902,5026.459960999999,5052.519775,4991.670166,5000,4851.229981,5000
2018-12-12,2658.229980,2685.439941,2650.260010,2651.070068,2651.070068,3958890000,4991.109863000001,4995.8103009999995,4865.609619,4908.540039,4738.629883,4995.3100589999995,5001.959961,4873.780029,5125.970214999999,5031.989744999999,5068.949951,5118.790037999999,5134.660400999999,4984.77002,4874.8500970000005,4975.679687999999,5044.990234999999,4818.429931000001,5034.689942,4823.659911999999,4919.760254000001,4984.660155,5069.660156,4952.450195,4828.519531,5128.510009,4984.660155,5107.340332,5191.900146,4914.299805000001,4831.900145,4870.4196759999995,4770.559569999999,4942.260254,5014.79004,5135.609863,4868.3500970000005,4767.850098,5017.560302,4860.3103040000005,5093.619872,5137.969969999999,5178.9201649999995,4918.959961,5026.25,4918.72998,4794.820313,4855.880128999999,4839.0,5179.820068,4970.060058000001,5038.839845,4938.580079,4892.909914,4951.599855,5025.9599610000005,5000.150146,4854.929932,5088.7900389999995,4937.05005,4976.520021,4998.479981,4937.010010000001,5001.050049,4838.500001,5031.969969999999,4937.999756000001,4836.599854,4905.060059,4879.97998,4941.27002,5065.200196,5028.929932,5007.750243999999,5007.9599610000005,4948.349854,4925.830322,5094.450195,4935.119629000002,5246.669921999999,4936.139893,4959.679931000001,4942.31006,4998.6301269999985,5088.7900389999995,4954.410156,5034.689942,4929.0598150000005,4915.76001,4870.370117,4908.140136999999,5000,4971.869873,4989.149902,5026.459960999999,5052.519775,4991.670166,5000,4851.229981,5000
2018-12-13,2658.699951,2670.189941,2637.270020,2650.540039,2650.540039,3927720000,4991.109863000001,5009.160398,4865.609619,4921.890136,4738.629883,4995.3100589999995,5015.310057999999,4887.130126,5125.970214999999,5049.979734999999,5068.949951,5118.790037999999,5134.660400999999,4999.0600589999995,4874.8500970000005,4975.679687999999,5058.340332,4679.129882000001,5034.689942,4823.659911999999,4919.760254000001,4984.660155,5069.660156,4952.450195,4842.809569999999,5128.510009,4984.660155,5107.340332,5206.1901849999995,4914.299805000001,4831.900145,4821.429684999999,4770.559569999999,4942.260254,5028.140137,5153.599853,4868.3500970000005,4767.850098,5017.560302,4860.3103040000005,5111.609862,5106.870115999999,5178.9201649999995,4918.959961,4917.150146,4918.72998,4809.110352,4769.150147999999,4752.270019,5179.820068,4970.060058000001,5038.839845,4938.580079,4892.909914,4951.599855,5025.9599610000005,5000.150146,4769.72998,5009.660156,4937.05005,4976.520021,4998.479981,4937.010010000001,5001.050049,4838.500001,5031.969969999999,4937.999756000001,4837.73999,4905.060059,4879.97998,4941.27002,5065.200196,5028.929932,5007.750243999999,4968.300049,4948.349854,4925.830322,5094.450195,4935.119629000002,5246.669921999999,4936.139893,4959.679931000001,4942.31006,4998.6301269999985,5009.660156,4954.410156,5034.689942,4929.0598150000005,4915.76001,4870.370117,4908.140136999999,5000,4971.869873,4989.149902,5026.459960999999,5052.519775,4991.670166,5000,4851.229981,5000
