Date,Open,High,Low,Close,Adj Close,Volume,Episode 0,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9
2000-12-29,1334.219971,1340.099976,1317.510010,1320.280029,1320.280029,1035500000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2001-01-02,1320.280029,1320.280029,1276.050049,1283.270020,1283.270020,1129400000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
2001-01-03,1283.270020,1347.760010,1274.619995,1347.560059,1347.560059,1880700000,5000,5000,5000,5000,5000,5000,5000,5000,4962.989991,5000
2001-01-04,1347.560059,1350.239990,1329.140015,1333.339966,1333.339966,2131000000,5000,5000,5000,5000,5000,5000,5000,5027.28003,4962.989991,5000
2001-01-05,1333.339966,1334.770020,1294.949951,1298.349976,1298.349976,1430800000,5000,5000,5000,5000,5013.059937,5050.069946,5000,5027.28003,4962.989991,5000
2001-01-08,1298.349976,1298.349976,1276.290039,1295.859985,1295.859985,1115500000,5000,5000,4965.01001,5000,5013.059937,5050.069946,5000,5027.28003,4962.989991,5000
2001-01-09,1295.859985,1311.719971,1295.140015,1300.800049,1300.800049,1191300000,5000,4997.510009,4965.01001,4997.510009,5013.059937,4998.369871999999,5000,5027.28003,4911.289917,4975.579956
2001-01-10,1300.800049,1313.760010,1287.280029,1313.270020,1313.270020,1296500000,5000,4997.510009,4969.950074,4997.510009,5013.059937,4998.369871999999,4953.23999,5027.28003,4911.289917,4975.579956
2001-01-11,1313.270020,1332.189941,1309.719971,1326.819946,1326.819946,1411200000,5000,4997.510009,4969.950074,5009.97998,5013.059937,5013.289916,4953.23999,5027.28003,4911.289917,4975.579956
2001-01-12,1326.819946,1333.209961,1311.589966,1318.550049,1318.550049,1276000000,5000,4997.510009,4969.950074,5009.97998,5013.059937,5039.309813,4946.71997,5027.28003,4911.289917,4975.579956
2001-01-16,1318.319946,1327.810059,1313.329956,1326.650024,1326.650024,1205700000,5000,5002.790037999999,4969.950074,5009.97998,5013.059937,5039.309813,4946.71997,5027.28003,4911.289917,4946.569946
2001-01-17,1326.650024,1346.920044,1325.410034,1329.469971,1329.469971,1349100000,4999.830078,5002.790037999999,4969.950074,5009.97998,5013.059937,5047.409788,4946.71997,5027.28003,4911.289917,4946.569946
2001-01-18,1329.890015,1352.709961,1327.410034,1347.969971,1347.969971,1445000000,4999.830078,5002.790037999999,4969.950074,5009.97998,5013.059937,5047.409788,4977.839965,5027.28003,4911.289917,4946.569946
2001-01-19,1347.969971,1354.550049,1336.739990,1342.540039,1342.540039,1407800000,4999.830078,5002.790037999999,4969.950074,5009.97998,5077.7598880000005,5047.409788,4977.839965,5027.28003,4925.919922,4946.569946
2001-01-22,1342.540039,1353.619995,1333.839966,1342.900024,1342.900024,1164000000,4999.830078,5002.790037999999,4969.950074,5009.97998,5077.7598880000005,5047.409788,5024.520019,5027.28003,4925.919922,4946.569946
2001-01-23,1342.900024,1362.900024,1339.630005,1360.400024,1360.400024,1232600000,5024.180053,5002.790037999999,4969.950074,5009.97998,5073.099853000001,5047.409788,5024.520019,5027.28003,4925.919922,4946.569946
2001-01-24,1360.400024,1369.750000,1357.280029,1364.300049,1364.300049,1309000000,5024.180053,5002.790037999999,4969.950074,5009.97998,5073.099853000001,5047.409788,5024.520019,5027.28003,4925.919922,4973.630004
2001-01-25,1364.300049,1367.349976,1354.630005,1357.510010,1357.510010,1258000000,5024.180053,5006.690062999999,4969.950074,5009.97998,5073.099853000001,5082.239866,5024.520019,5027.28003,4925.919922,4973.630004
2001-01-26,1357.510010,1357.510010,1342.750000,1354.949951,1354.949951,1098000000,5052.220092,5006.690062999999,4969.950074,5038.020019,5101.139892000001,5082.239866,5024.520019,5027.28003,4925.919922,4973.630004
2001-01-29,1354.920044,1365.540039,1350.359985,1364.170044,1364.170044,1053100000,5064.630004,5006.690062999999,4969.950074,5050.429931,5101.139892000001,5082.239866,5024.520019,5048.890015,4925.919922,4973.630004
2001-01-30,1364.170044,1375.680054,1356.199951,1373.729980,1373.729980,1149800000,5068.400024,5006.690062999999,4969.950074,5050.429931,5104.909912000001,5082.239866,5024.520019,5048.890015,4976.819946,4973.630004
2001-01-31,1373.729980,1383.369995,1364.660034,1366.010010,1366.010010,1295300000,5068.400024,5006.690062999999,4969.950074,5050.429931,5114.339843000002,5082.239866,5024.520019,5048.890015,4976.819946,4973.630004
2001-02-01,1366.010010,1373.500000,1359.339966,1373.469971,1373.469971,1118800000,5070.109984999999,4998.970092999999,4969.950074,5050.429931,5114.339843000002,5082.239866,5024.520019,5048.890015,5016.01001,4973.630004
2001-02-02,1373.469971,1376.380005,1348.719971,1349.469971,1349.469971,1048400000,5069.8499759999995,4998.970092999999,4969.950074,5050.429931,5114.339843000002,5082.239866,5079.439941,5048.890015,5016.01001,4973.630004
2001-02-05,1349.469971,1354.560059,1344.479980,1354.310059,1354.310059,1013000000,5069.8499759999995,4974.970092999999,4969.950074,5050.429931,5108.8598630000015,5083.739866,5079.439941,5048.890015,5016.01001,4973.630004
2001-02-06,1354.310059,1363.550049,1350.040039,1352.260010,1352.260010,1059600000,5069.8499759999995,4974.970092999999,4950.530153,5050.429931,5108.8598630000015,5095.509886,5107.0999759999995,5048.890015,5016.01001,5014.670043
2001-02-07,1352.260010,1352.260010,1334.260010,1340.890015,1340.890015,1158300000,5069.8499759999995,4974.970092999999,4950.530153,5053.21997,5108.8598630000015,5095.509886,5107.0999759999995,5100.3499759999995,5016.01001,5014.670043
2001-02-08,1341.099976,1350.319946,1332.420044,1332.530029,1332.530029,1107200000,5069.8499759999995,4974.970092999999,4917.950197,5053.21997,5108.8598630000015,5095.509886,5107.0999759999995,5100.3499759999995,5016.01001,5014.670043
2001-02-09,1332.530029,1332.530029,1309.979980,1314.760010,1314.760010,1075500000,5069.8499759999995,4953.190062999999,4917.950197,5044.859984000001,5100.499877000002,5095.509886,5091.6600339999995,5100.3499759999995,5016.01001,5014.670043
2001-02-12,1314.760010,1330.959961,1313.640015,1330.310059,1330.310059,1039100000,5069.8499759999995,4927.060057999999,4917.950197,5044.859984000001,5100.499877000002,5095.509886,5091.6600339999995,5100.3499759999995,5016.01001,5014.670043
2001-02-13,1330.310059,1336.619995,1317.510010,1318.800049,1318.800049,1075200000,5069.8499759999995,4927.060057999999,4917.950197,5044.859984000001,5100.499877000002,5095.509886,5079.070068999999,5100.3499759999995,5016.01001,5014.670043
2001-02-14,1318.800049,1320.729980,1304.719971,1315.920044,1315.920044,1150300000,5069.8499759999995,4927.060057999999,4917.950197,5044.859984000001,5100.499877000002,5095.509886,5079.070068999999,5100.3499759999995,5016.26001,5014.670043
2001-02-15,1315.920044,1331.290039,1315.920044,1326.609985,1326.609985,1153700000,5069.8499759999995,4924.180052999999,4917.950197,5030.469969000001,5100.499877000002,5095.509886,5037.480103,5100.3499759999995,5016.26001,5014.670043
2001-02-16,1326.609985,1326.609985,1293.180054,1301.530029,1301.530029,1257200000,5069.8499759999995,4924.180052999999,4917.950197,5038.279905000001,5100.499877000002,5095.509886,5037.480103,5100.3499759999995,5016.219971,5014.460082
