Date,Open,High,Low,Close,Adj Close,Volume,Episode 0,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10,Episode 11,Episode 12,Episode 13,Episode 14,Episode 15,Episode 16,Episode 17,Episode 18,Episode 19
2018-11-14,2737.899902,2746.800049,2685.750000,2701.580078,2701.580078,4402370000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
2018-11-15,2693.520020,2735.379883,2670.750000,2730.199951,2730.199951,4179140000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
2018-11-16,2718.540039,2746.750000,2712.159912,2736.270020,2736.270020,3975180000,10028.619873,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10028.619873,10000,10000,10000,10000
2018-11-19,2730.739990,2733.159912,2681.090088,2690.729980,2690.729980,3772900000,10028.619873,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10006.070069,10000,10000,10000,10028.619873,10000,10000,10000,10000
2018-11-20,2654.600098,2669.439941,2631.520020,2641.889893,2641.889893,4357900000,9983.079833,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10006.070069,10000,10000,10000,10028.619873,10000,9960.530029,10000,10000
2018-11-21,2657.739990,2670.729980,2649.820068,2649.929932,2649.929932,3233550000,9983.079833,10000,10000,10000,10000,10000,10000,10000,9911.689942,9940.309815,9951.159913,10006.070069,10000,10000,9905.619873,10028.619873,9940.309815,9960.530029,10000,10000
2018-11-23,2633.360107,2647.550049,2631.090088,2632.560059,2632.560059,1651650000,9983.079833,10000,10008.040039,10000,10000,10000,10000,9959.199951999999,9911.689942,9853.969727,9951.159913,10006.070069,10000,9948.349854,9864.819824999999,10028.619873,9940.309815,9960.530029,10000,10008.040039
2018-11-26,2649.969971,2674.350098,2649.969971,2673.449951,2673.449951,3443950000,9983.079833,9941.830079,10008.040039,9990.670166,10000,10000,9990.670166,9959.199951999999,9911.689942,9853.969727,9951.159913,10006.070069,10000,9948.349854,9864.819824999999,10028.619873,9940.309815,9960.530029,9902.360108,10008.040039
2018-11-27,2663.750000,2682.530029,2655.889893,2682.169922,2682.169922,3485220000,10014.639890999999,9941.830079,10008.040039,9990.670166,10000,10000,9990.670166,9959.199951999999,9911.689942,9853.969727,9951.159913,10006.070069,10000,9948.349854,9864.819824999999,10028.619873,9940.309815,9960.530029,9902.360108,10008.040039
2018-11-28,2691.449951,2744.000000,2684.379883,2743.790039,2743.790039,3951670000,10014.639890999999,9941.830079,10008.040039,9990.670166,10000,10000,9990.670166,9959.199951999999,9911.689942,9853.969727,9951.159913,10006.070069,10000,9948.349854,9873.539796,10028.619873,9940.309815,10000.810058,9902.360108,10008.040039
2018-11-29,2736.969971,2753.750000,2722.939941,2737.800049,2737.800049,3560770000,10014.639890999999,10003.450196,10008.040039,10061.010254,10000,10000,9990.670166,9959.199951999999,9911.689942,9853.969727,10012.78003,10006.070069,10000,9948.349854,9873.539796,10028.619873,9940.309815,10094.670165,9902.360108,10008.040039
2018-11-30,2737.760010,2760.879883,2732.760010,2760.169922,2760.169922,4658580000,10014.639890999999,10003.450196,10008.040039,10061.010254,10000,10000,9990.670166,9959.199951999999,9911.689942,9853.969727,10012.78003,10061.700196,10000,9948.349854,9873.539796,10028.619873,9940.309815,10199.910155,9902.360108,10008.040039
2018-12-03,2790.500000,2800.179932,2773.379883,2790.370117,2790.370117,4186060000,10014.639890999999,10003.450196,10008.040039,10061.010254,10000,10000,9990.670166,9959.199951999999,9911.689942,9853.969727,10012.78003,10061.700196,10069.439942,9948.349854,9873.539796,10146.899902,9940.309815,10199.910155,9902.360108,10024.419922
